state,25_nosub,25_sub,40_nosub,40_sub,60_nosub,60_sub
CT,258,193.0,328.0,193.0,697.0,193.0
DC,180,180.0,242.0,193.0,521.0,193.0
MD,179,179.0,228.0,193.0,484.0,193.0
ME,232,193.0,295.0,193.0,626.0,193.0
NY,390,193.0,390.0,193.0,390.0,193.0
RI,230,193.0,293.0,193.0,622.0,193.0
VA,199,193.0,253.0,193.0,537.0,193.0
VT,413,193.0,413.0,193.0,413.0,193.0
IN,232,193.0,295.0,193.0,626.0,193.0
MT,203,193.0,258.0,193.0,548.0,193.0
NE,213,193.0,271.0,193.0,576.0,193.0
OH,196,193.0,249.0,193.0,529.0,193.0
SD,207,193.0,264.0,193.0,561.0,193.0
NM,167,167.0,212.0,193.0,450.0,193.0
CA,200,193.0,255.0,193.0,541.0,193.0
CO,196,193.0,250.0,193.0,531.0,193.0
OR,158,158.0,201.0,193.0,427.0,193.0
WA,222,193.0,283.0,193.0,601.0,193.0
