state	city	region	baby_nosub	baby_sub	adult_nosub	adult_sub	old_nosub	old_sub
CT	Hartford	East	258	193	258	193	697	193
DC	Washington D.C.	East	180	180	180	180	521	193
MD	Baltimore	East	179	179	179	179	484	193
ME	Portland	East	232	193	232	193	626	193
NY	New York City	East	390	193	390	193	390	193
RI	Providence	East	230	193	230	193	622	193
VA	Richmond	East	199	193	199	193	537	193
VT	Burlington	East	413	193	413	193	413	193
IN	Indianapolis	Midwest	232	193	232	193	626	193
MT	Billings	Midwest	203	193	203	193	548	193
NE	Omaha	Midwest	213	193	213	193	576	193
OH	Cleveland	Midwest	196	193	196	193	529	193
SD	Sioux Falls	Midwest	207	193	207	193	561	193
NM	Albuquerque	South	167	167	167	167	450	193
CA	Los Angeles	West	200	193	200	193	541	193
CO	Denver 	West	196	193	196	193	531	193
OR	Portland	West	158	158	158	158	427	193
WA	Seattle	West	222	193	222	193	601	193
