The Hunger Games: Catching Fire,"[snow, tour, president, mentor, uprising, based on young adult novel, alcoholic, impalement, pistol, island, future, suicide, forest, mansion, sword, elevator, cpr, paranoia, stabbed in the chest, man punching a woman, political satire, tough girl, training, futuristic train, hypodermic needle, bare chested male bondage, tree, poison, ape, self sacrifice, dictator, palace, miner, flamethrower, mercenary, computer, faked pregnancy, stadium, wedding dress, hologram, class differences, sequel, shot in the back, open ended, bleeped dialogue, teenager, deception, fictitious sport, beach, television, covered in blood, flood, violence, no title at beginning, returning character killed off, shot in the chest, train, rainstorm, tournament, stabbed to death, anti heroine, airship, undressing, tracking device, one woman army, threatened with a knife, lightning, nightmare, warrior, jungle, factory, sports arena, threat, military, blood, poisoned to death, post traumatic stress disorder, explosion, character repeating someone else's dialogue"", dome, shot in the leg, resistance, fight the system, power outage, horse, propaganda, action heroine, social commentary, title at the end, commander, surveillance, corpse, animal attack, teenage hero, killing an animal, murder, mother daughter relationship, bow and arrow, suspicion, interview, stabbed in the back, teenage heroine, knocked out, montage, hallucination, stabbed in the arm, woods, shot in the head, survival, helicopter, bare chested male, machine gun, baboon, cyberpunk, dystopia, fireworks, army, whipping, electrocution, female warrior, graffiti, fog, oppression, fire, spear, fascism, execution, locket, revolution, inventor, torture, protective male, drowning, knife, scientist, love triangle, no opening credits, conspiracy, sign language, applause, photograph, talk show host, totalitarianism, death, faked death, competition, sugar cube, second part, fake marriage, post apocalypse, party, shot to death, letter, forcefield, healing, blockbuster, underwater scene, dance, near future, secret, sister sister relationship, bat, heavy rain, campfire, person on fire, futuristic, punched in the face, soldier, beaten to death, mother son relationship, satire, animal killing, husband wife relationship, what happened to epilogue, death of mother, death of friend, based on novel, surprise ending']"
Iron Man 3,"[prototype, tennessee, terrorist, mansion, explosion, fight, new year's eve"", scientist, bodyguard, post traumatic stress disorder, helicopter attack, helicopter, small town, terrorist attack, malibu california, missing limb, screaming in pain, hospital, presumed dead, virus, flashback, fire, hologram, nanotechnology, media manipulation, blown off feet, air to surface missile, sequel, nightmare, airforce one, brawl, woman wearing a string bikini, elevator, british actor playing american character, no opening credits, slapstick comedy, fistfight, robot suit, hand through chest, shootout, snow, based on comic, shot in the head, mind control, corrupt politician, beauty contest, murder, manipulation, missile attack, missile, exploding helicopter, fire truck, 2010s, uzi, hotel, year 1999, rooftop, billionaire, boy, human bomb, shotgun, underwater scene, filmed killing, double cross, artificial intelligence, surgery, playboy, final battle, blockbuster, fireworks, science runs amok, surveillance, extremis, gearing up, bar, terrorist plot, interrogation, investigation, scar, handcuffs, female soldier, cell phone, scene after end credits, sheriff, wisecrack humor, held at gunpoint, showdown, security camera, regret, betrayal, terrorist group, tied up while barefoot, u.s. president, cure, laptop, cover up, oil rig, media coverage, voice over narration, terrorist cell, exploding airplane, christmas tree, babe scientist, crutches, memorial, anti hero, one liner, subjective camera, ch 47 chinook helicopter, inventor, femme fatale, axe, hostage, washington d.c., metal in a microwave oven, severed leg, martial arts, deception, news report, battle, action hero, fake accent, pirate broadcasting, white house, machine gun, speedboat, gash in the face, head mounted display, knife, neck breaking, terrorism, chase, finger gun, ex soldier, pakistan, terrorist bombing, superhero, motel, cameo, grenade, drug addict, wheelchair, kidnapping, foot chase, gatling gun, begins with a quotation, torture, 20th century, prologue, surprise after end credits, transformation, computer hacker, hit by a car, toy gun, 1990s, helicopter crash, reference to albert einstein, explosive decompression, water tower, escape, exploding house, pistol, 21st century, stun gun, narrated by character, mob of reporters, miami florida, marvel cinematic universe, assassin, rescue, ceo, hand to hand combat, third part, diner, botanist, exploding body, flash forward, water tower collapse, engineer, girl in a wheelchair, marvel entertainment, security guard, ambulance, tied feet, face tattoo, woman in a bikini, party, supernatural power, power armor, old flame, air force one, warrior, death, female assassin, super soldier, limousine, one man army, battlefield, gunfight, hit by a truck, marvel comics, shot in the chest, superhero, bell 206 jet ranger helicopter, female killer, bare chested male, violence, computer cracker, knocked out, microwave oven, airplane hijacking, super strength, berne switzerland, regeneration, police officer killed, character's point of view camera shot"", based on comic book, armor, colonel, arrest, conspiracy, combat, newscast, grauman's chinese theater"", anxiety attack, mutation, villain not really dead cliche, power suit, ak 47, burned in effigy, black comedy, christmas, robot, disguise, falling from height, no title at beginning, person on fire, actor, amputee, revelation, severed arm, dunce cap, soldier, restaurant, number in title,]"
Despicable Me 2,"[minion, wedding cake, kiss on the lips, wig, fire alarm, driving a car into the ocean, wifi, dating, rocket, sequel, pet dog, boy girl relationship, second part, single father, laptop, watch, krav maga, undercover spy, green eyes, character's point of view camera shot"", wilhelm scream, mutation, arctic circle, shock wave, cut the red wire or blue wire?, brown eyes, stun gun, exploding volcano, eagle, cupcake, spy, bakery, 555 phone number, talking through door, tranquilizer dart, speaking with a russian accent, anti hero, toy unicorn, motorcycle, trash bin, dynamite, heat ray, chicken, electric shock, fall from height, wig store, starfish, climbing a tree, painting someone's body"", overprotective father, restaurant, cat, opposing energy beams, vacuum cleaner, cross dressing, jelly, rattlesnake, father daughter relationship, driving a car out of a shopping mall, hunchback, belt, wedding of main characters, pancake, kicking in a door, volcano, garbage bin, flamethrower, wedding, three word title, jujits, russian accent, freeze ray, covered in paint, singing in a car, grey eyes, wedding kiss, lava, computer animation, shark, guacamole, saving the world,]"
Frozen,"[snowman, troll, mountain, reindeer, magic, snow, ice, bechdel test passed, clumsy girl, villain arrested, despair, person in ice, sister love, treason, scene after end credits, cold, based on fairy tale, princess, cheating death, one word title, girl, orphan, sacrifice, deceiver, falsely accused, near death experience, queen, self sacrifice, infatuation, betrayal, mountain climber, hopeless romantic, disney animated feature, surprise after end credits, cliff, isolation, sister sister relationship, true love, sleigh, prince']"
Man of Steel,"[hope, kansas, journalist, reboot of series, desert, husband wife relationship, moon, cornfield, restraint, american flag, church, exploding planet, man with glasses, fighter pilot, underwater scene, lockheed martin boeing f 22 raptor, butt slap, adoption, rescue, school teacher, newspaper reporter, brawl, bully comeuppance, drink thrown into someone's face"", space travel, death of husband, thrown through a wall, space exploration, foster parent, death, fight, spaceship, world domination, thrown through a window, laser, super strength, ufo, deoxyribonucleic acid, falling to death, product placement, two way mirror, cryogenics, fbi agent, adoptive father, sequel, adoptive mother, war criminal, mercilessness, revenge, alien abduction, exploding plane, u.s. soldier, fisherman, general, exploding airplane, punched in the face, hostage, gas station, interview, fairchild republic a 10 thunderbolt ii, exploding ship, falling debris, alien contact, ferry, outer space, outpost, farmhouse, farm, bully, secret identity, mixed martial arts, combat, school bus, human versus alien, artificial intelligence, one man army, cell phone, fetus, flashback, airplane, machine gun, imprisonment, red cape, professor, handcuffs, truck, dog, mind reading, humvee, mother son relationship, earth viewed from space, falling object, anti villain, assassination, implosion, fictional city, canada, three word title, tornado, saturn the planet, flying man, civil war, woman in labor, robot, waiter, exploding helicopter, stabbed to death, crashing through a window, good versus evil, supernatural power, family farm, spitting blood, escape, helmet, m1 abrams tank, gunfight, character's point of view camera shot"", reluctant hero, colonel, restaurant, alien civilization, wilhelm scream, jumping from height, polar bear, shootout, exploding car, gas mask, suit of armor, jumping through a window, exploding train, character repeating someone else's dialogue"", ufo, neck breaking, knife, fire, tent, engineer, fake identity, lifting person in air, young version of character, destroyed city, waitress, murder, telekinesis, space ship, father son relationship, oil platform, army, small town, injection, investigative reporter, adopted son, cape, fishing boat, epic, phantom zone, pirate broadcasting, plane crashing into a building, fbi, alien, no opening credits, hitchhiker, fight to the death, spacesuit, falling from height, coming of age, space battle, bare chested male, violence, tree swing, costume, super villain, surrogate family, exploding body, human skull, shot to death, battlefield, bank, punched in the chest, laptop, showdown, race against time, fighter jet, atmospheric reentry, uh 1 huey helicopter, rocket launch, satellite, chaos, shot in the head, skull, power outage, m 2 bradley fighting vehicle, bar, spacecraft, villainess, origin of hero, space capsule, blow out, torture, alien invasion, head butt, pistol, alien race, drifter, x ray vision, trucker, female reporter, helicopter crash, action hero, riding a dragon, bank vault, female soldier, kicked in the stomach, codex, end of the world, exploding truck, false identity, impalement, based on comic book, flying, damsel in distress, escape pod, assault rifle, lens flare, super speed, child in peril, ancient astronaut, destruction of planet, infant, council, final battle, interrogation, loner, chase, altered version of studio logo, laser gun, heroism, childbirth, soldier, fistfight, skeleton, tough guy, helicopter crash, crash landing, kicked in the face, exploding gasoline station, barn, coup d'\xe9tat"", farmer, reporter, based on comic, blockbuster, school, person on fire, priest, crushed to death, bridge, creature, woman punching a man, nonlinear timeline, collapsing building, binoculars, captain, 3 dimensional, car crash, ch 47 chinook helicopter, construction site, mercy killing, sikorsky sh 3 sea king helicopter, space war, oil rig, arrest, title at the end, beating, catching someone who falls, military, newspaper office, black hole, humanoid, self sacrifice, news report, diner, criminal, humanity in peril, hand to hand combat, hiding in a closet, superhuman, laboratory, invulnerability, media coverage, assumed identity, editor in chief, warrior, hitchhiking, fighting in the air, re boot, martial arts, school bus falling off a bridge, cemetery, tank, yelling, c 17 globemaster, scientist, submerged school bus, missile, explosion, human alien, costumed hero, oh 6 cayuse helicopter, no title at beginning, hologram, ice, alien planet, dc comics, photograph, genetic engineering, battle, terraforming, lifted by the throat, x rayed skeleton, exploding building, gatling gun, inside the mind, orphan, one against many, death of husband, uh 60 blackhawk helicopter, shot in the chest, sikorsky sh 60 seahawk, man punching a woman, guided missile, stabbed in the chest, air strike, christ allegory, hotel, u.s. air force, snow, u.s. army, superhero, breaking handcuffs, kidnapping, telepathy, death of father, character name in title']"
Monsters University,"[monster, friend, university, singing on bus, best friend, prequel, wilhelm scream, fraternity, mother son relationship, fraternity brother, singing in a car, frat boy, party, origin story, pixar animated film, scared child, cheating, university professor, bully, sequel']"
Gravity,"[astronaut, medical engineer, adrift in space, disaster, spacewalk, long take, marooned, bolt, oxygen, trapped in space, one word title, weightlessness, jet pack, houston texas, critically acclaimed, zero gravity, technology, despair, earth viewed from space, woman with tragic history, metaphor, lack of gravity, one day, death of daughter, spacesuit, fear, race against time, character repeating someone else's dialogue"", spinning through space, sole survivor, panic, no opening credits, nasa, subjective camera, space shuttle, lack of oxygen, written by director, 3 dimensional, minimal cast, underwater scene, wrench, hole in the head, tension, self pity, lens flare, space mission, title at the end, self sacrifice, near death experience, box office hit, radio, character's point of view camera shot"", survival, isolation, satellite, film starts with text, fountain pen, soliloquy, alone against the odds, death, kessler syndrome, space station, prayer, alarm, corpse, fire extinguisher, reference to marvin the martian, parachute, outer space, hyperventilation, fire, hallucination, dream sequence, space debris, frog,]"
The Hobbit: The Desolation of Smaug,"[mountain, wizard, ring, dragon, hobbit, quest, elf, shapeshifting, transformation, knife, fire breathing dragon, giant spider, shot in the throat, lost in the woods, impalement, forest, knocked out, decapitation, river, written by director, cliffhanger, shot in the leg, hiding in a barrel, flashback, prequel and sequel, king, father son relationship, magic, killing an animal, gold, shot in the back, shot in the chest, character's point of view camera shot"", stabbed in the back, treasure, barrel, poison, fictional war, dwarf, bow and arrow, shot in the head, sword fight, photograph, shot to death, love triangle, director cameo, battle, invisibility, kingdom, good versus evil, prequel, map, sequel, character repeating someone else's dialogue"", pub, axe, stabbed in the chest, disfigured face, moonlight, foot chase, knife throwing, subtitled scene, lens flare, sword, stabbed in the head, cocoon, creature, second part, key, martial arts, shot in the forehead, stabbed to death, hand to hand combat, hidden door, falling down stairs, severed head, stabbed in the throat, 3 dimensional, stabbed in the mouth, rain, tomb, based on novel, character name in title, title spoken by character']"
Fast & Furious 6,"[criminal, mercenary, spain, military base, brother sister relationship, thief, assault rifle, ex cop, airplane accident, terrorist, microchip, murder, tough guy, female killer, sixth part, interracial relationship, fight, kidnapping, corrupt cop, prison fight, product placement, sniper rifle, tokyo japan, necklace, one man army, explosion, car chase, ampersand in title, captain, anti hero, bare chested male, exploding airplane, cameo, hand to hand combat, undercover, fast car, fistfight, death of loved one, terrorist group, female assassin, subway station, revolver, slow motion scene, army, harpoon, head butt, police chase, action heroine, blockbuster, broken nose, prison, interrogation, bitten on the leg, car flip, police officer killed, surveillance, inbetwequel, childbirth, photograph, held at gunpoint, shot in the back, self sacrifice, fbi agent, private jet, exploding car, car theft, explosive, fist fight, cut into pieces, disguise, numbered sequel, punched in the face, investigation, los angeles california, body landing on a car, pawnshop, runway, number 6 in title, desert eagle, death, reference to the hulk, high tech, tank, boyfriend girlfriend relationship, vending machine, forced to strip, airplane, brawl, subtitled scene, moscow russia, exploding body, motorcycle stunt, driving in the wrong direction, ex con, surprise during end credits, american abroad, automated teller machine, bomb, cctv, digit in title, machine gun, manipulation, shot to death, terrorism, female agent, security guard, violence, assassination attempt, sniper, fbi, hostage, mixed martial arts, beating, character repeating someone else's dialogue"", pistol, london england, mexican standoff, tough girl, exploding building, jumping from a car, flashback, hospital, kicked in the stomach, prisoner, scene during end credits, threat, cargo plane, camera focus on female butt, exploding bridge, rogue agent, security camera, catfight, swat team, reference to thor, falling to death, martial arts, crime boss, returning character killed off, shotgun, shot in the shoulder, motorcycle, two way mirror, computer cracker, arrest, shiv, torture, reference to captain america, government agent, punched in the stomach, death of girlfriend, scar, gunfight, military convoy, falling down stairs, car accident, millionaire, lens flare, amnesia, muscleman, wisecrack humor, rescue, action hero, deception, barbecue, sequel, car crash, showdown, shootout, warrior, lasersight, baby, soldier, foot chase, car race, femme fatale, terrorist plot, parking garage, silencer, stabbed in the leg, shot in the chest, arms dealer, assassin, ak 47, hong kong, stolen car, death of friend, number in title, surprise ending']"
Oz the Great and Powerful,"[witch, magician, circus, magic, kansas, illusion, wizard, hope, womanizer, treasure, tornado, magic wand, prophecy, black and white segues into color, actress playing multiple roles, midget, foot chase, forest, deception, munchkin, prequel, china doll, yellow brick road, clown, fireworks, flying monkey, prequel to cult film, black and white, magic trick, girl, talking animal, broomstick, projection, false accusation, fall from height, life debt, reference to thomas edison, fairy, freedom, friendship, apple, on the run, creature, broken leg, glue, army, five word title, redemption, lion, witch hat, throne, hiding, wheelchair, leather pants, porcelain, magician's assistant"", faked death, gold, reference to houdini, explosion, grudge, fireball, impostor, castle, bubble, flying broom, green skin, necklace, exile, place name in title, year 1905, top hat, loss of father, cheating death, knife, good versus evil, character repeating someone else's dialogue"", music box, scarecrow, fog, storm, 3 dimensional, orphan, journey, sister sister relationship, actor playing multiple roles, 1900s, dancing, hot air balloon, graveyard, con artist, near death experience, crystal ball, concealing the truth, tranformation, manipulation, kidnapping, title spoken by character, character name in title,]"
