The Big Wedding,"[birth mother, remake, box office flop, three word title, marriage, remake of french film, deception, adoption, critically bashed, divorce]"
Baggage Claim,[]
The Way Way Back,"[water park, vacation, summer, teenage boy, mother son relationship, shy kid, singing in a car, cheating boyfriend, party, teenage girl, awkward boy, water slide, unlikely friendship, repetition in title, reference to bonnie tyler, reference to the rolling stones, neighbor, boat, friendship, job, bicycle, reference to reo speedwagon]"
The Book Thief,"[book, girl, young girl, teenage boy, chalk, snowball, dead body, crying girl, soup, voice over, bomb, communist, explosion, year 1939, killed in explosion, river, air raid, library, snowman, sign, adoptive father, year 1941, snow, bombing, year 1945, olympics, track, illiteracy, teacher, bridge, foot race, loss of mother, anti communist, nazi germany, year 1942, girl crying, loss of father, reference to jesse owens, three word title, narrator, adoptive father adoptive daughter relationship, strict mother, kristallnacht, holocaust, search, sole survivor, running, what happened to epilogue, voice over narration, chalkboard, book burning, diary, train, nazi, father daughter relationship, hiding, fire, year 1938, siren, soldier, snowball fight, teenage girl, starvation, basement, loss of brother, husband wife relationship, reference to adolf hitler, adoptive mother adoptive daughter relationship, world war two, bomber, mother daughter relationship, school bully, year 1943, death of mother, death of father, based on novel, based on book, ]"
Dallas Buyers Club,"[drug, fda, hiv, electrician, doctor, aids, hiv positive, trial, clinical trial, hospital, texas, dying man, research, transvestite, gay, gay community, vitamin, smoking, pharmaceuticals, cocaine, redneck, mexico, rodeo, drug use, treatment, painting, cell phone, weight loss, male underwear, horse, drug addict, loss of friend, gay couple, library, airplane, drugs, u.s. mexican border, male rear nudity, masturbation, drug trial, aids test, bare chested male, friendship, trailer, heart attack, survival, father son relationship, man with glasses, fatal disease, alternative medicine, activist, texan, gay slur, gay acceptance, 1980s, year 1986, gay bar, dallas texas, mortality, gay black man, transphobia, restaurant, reference to marc bolan, drip, court, crying man, threesome, racism, border crossing, what happened to epilogue, cowboy hat, amsterdam netherlands, gay interest, drug prescription, china, year 1985, reference to boy george, prognosis, fake priest, briefs, horse riding, cowboy, transgender, doctor patient relationship, homophobia, japan, hospital gown, gay taunting, mustache, smuggler, aids activism, man crying, gay friend, hiv aids, male nudity, gay character, gay son, reference to ronald reagan, customs officer, drag queen, illness, police officer, pharmaceutical industry, hiv test, city name in title, police, gay innuendo, occupational injury, glasses, courthouse, based on true story, ]"
Homefront,"[dea agent, small town, beating, knocked out, punched in the stomach, swat team, methamphetamine, stabbed in the chest, prison, shot in the stomach, punched in the face, exploding building, shot in the head, shot in the chest, bayo, undercover agent, one word title, stuffed animal, scene during opening credits, stabbed in the hand, brother sister relationship, shot in the back, drug addict, head butt, lens flare, kidnapping, murder, kicked in the chest, broken leg, intimidation, new orleans louisiana, husband wife relationship, impalement, louisiana, shotgun, character repeating someone elses dialogue, sheriff, threat, horse riding, hit with a baseball bat, feud, kicked in the face, white trash, stolen police car, father daughter relationship, murder of a police officer, widower, elementary school, gas mask, bully, bar, motorcycle gang, shot to death, explosion, meth lab, 10 year old, lawyer, blood on camera lens, slow motion scene, prisoner, pistol, gas station, car crash, airboat, birthday party, title at the end, sex on car, shootout, child in peril, stabbed to death, bridge, cat, flat tire, arrest, stabbed with a pitchfork, mother son relationship, doggystyle sex, tattoo on arm, flashback, prison visit, shot in the leg, stable, holding head under water, death of son, based on novel, ]"
Broken City,"[murder, mayor, private detective, new york city, actress, car chase, celebration, no opening credits, staten island new york city, investigation, bare chested male, puerto rican, brooklyn bridge, infidelity, lens flare, police commissioner, gay slur, new york cityscape, father son relationship, police detective, city hall, boyfriend girlfriend relationship, secret, party, husband wife relationship, f word, punched in the face, shot in the forehead, surveillance, head held under water, drunkenness, shot to death, videotape, actor, contract, box office flop, bar, slow motion scene, news report, doggystyle sex, hotel, pistol, protest, hit with a baseball bat, character repeating someone elses dialogue, corruption, manhattan new york city, conspiracy, interracial relationship, urban mural, movie premiere, corpse, car crash, beach, racquetball, campaign manager, kicked in the face, political debate, beating, reference to john f. kennedy, flashback, reference to simon cowell, topless female nudity, shot in the chest, brooklyn new york city, shotgun, fellatio, unsubtitled foreign language, political campaign, over and under shotgun, shot in the leg, police chief, courtroom, police car, blackmail, city councilman, masked man, two word title, camera, critically bashed, dodge charger, title spoken by character]"
Beautiful Creatures,"[love, witch, classmate, high school, south carolina, reference to charles bukowski, sketchbook, forbidden love, reference to jane austen, curse, civil war reenactment, accidental killing, starts with narration, box office flop, reference to google, storm, walking in the rain, uncle niece relationship, reference to kurt vonnegut, spiral staircase, boyfriend girlfriend relationship, macaroon, brother sister relationship, passionate kiss, two word title, standing in the rain, building fire, no opening credits, library, church, teenage boy, supernatural, grand piano, police car rollover, mother daughter relationship, supernatural power, based on young adult novel, teenage romance, medallion, window shattered, sacrifice, siren, lightning, voice over, poetry, disrupting class, playing piano, police chase, reference to boo radley, teenage love, speech, singing in a car, based on novel, ]"
Runner Runner,"[costa rica, poker game, fbi agent, gambling, college student, threesome, spanish, lens flare, voice over narration, critically bashed, repetition in title, character repeating someone elses dialogue, american abroad, year 2013, pistol, college dean, briefcase full of money, bag of money, private jet, reference to napoleon, craps, topless female nudity, slow motion scene, bag over head, kicked in the face, prostitute, basketball, infidelity, casino, blackmail, bare chested male, corruption, father son relationship, horse, woman on top, cigar smoking, bribery, party, crocodile, carnival, corrupt cop, reference to meyer lansky, punched in the face, princeton university, boat, hotel, briton abroad, ferris wheel, beating, butt slap, laptop computer, sex scene, title spoken by character, surprise ending]"
Her,"[operating system, love, writer, divorce, best friend, lonely man, blind date, ex husband ex wife relationship, train ride, romance with artificial intelligence, written by director, beach, futuristic, los angeles skyline, smoke rising from manhole, elevator, loneliness, woman in lingerie, panic, relationship problems, mustache, love letter, jealousy, produced by director, one word title, pronoun in title, writing a letter, restaurant, artificial intelligence, awkwardness, signing divorce papers, sex talk, director cameo, sparkler, los angeles california, manhole, break up, profanity, masturbation, rooftop, falling down, computer tablet, surrogate, flashback sequence, husband wife relationship, phone sex, f word, ]"
