name,company,total_amount,% Outstanding,Lastest Change,share_price,industry
Lawrence Joseph Ellison ,Oracle Corp,1113634580,24.762,3000000,37.82,Basic materials
William Henry Gates ,Microsoft Corp,358414989,4.293,1008,35.9,Basic materials
Richard D Kinder ,Kinder Morgan In,241872511,23.35,500000,35.95,Basic materials
Charles R Schwab ,Schwab (Charles),163410495,12.675,#N/A N/A,25.9,Basic materials
Micky Meir Arison ,Carnival Corp,110690090,18.7,4800,39.19,Communications
Pierre M Omidyar ,Ebay Inc,110422308,8.529,-2000000,53.35,Communications
Rupert Harris Johnson Jr,Franklin Res Inc,106178151,16.831,-1000000,57.08,Communications
Jeffrey P Bezos ,Amazon.Com Inc,84965269,18.562,-4751,399.95,Communications
Stefano  Pessina ,Walgreen Co,72959594,7.679,34439,59.01,Communications
David  Filo ,Yahoo! Inc,71061390,7.005,-300000,41.58,Communications
Richard M Schulze ,Best Buy Co Inc,61454978,17.761,-2000000,38.8,Communications
Mary Alice Dorrance Malone ,Campbell Soup Co,53214687,16.994,8860,42.64,Communications
Mitchell P Rales ,Danaher Corp,48018746,6.887,#N/A N/A,76.59,Communications
Leslie Herbert Wexner ,L Brands Inc,45049155,15.519,#N/A N/A,60.84,Communications
Marc R Benioff ,Salesforce.Com,40850000,6.774,850000,56.29,Communications
Min H Kao ,Garmin Ltd,38942580,19.948,-45000,45.47,Communications
Doris F Fisher ,Gap Inc/The,38666291,8.612,-266560,38.7,"Consumer,Cyclical"
Blase Thomas Golisano ,Paychex Inc,37935821,10.416,#N/A N/A,44.75,"Consumer,Cyclical"
John Willard Marriott Jr,Marriott Intl-A,37289700,12.449,#N/A N/A,48.81,"Consumer,Cyclical"
William J Pulte ,Pultegroup Inc,35355366,9.23,#N/A N/A,19.77,"Consumer,Cyclical"
Richard A Hayne ,Urban Outfitter,29717562,20.174,#N/A N/A,38.01,"Consumer,Cyclical"
Ronda E Stryker ,Stryker Corp,28672305,7.577,-21000,76.81,"Consumer,Cyclical"
Donald R Horton ,Dr Horton Inc,27322681,8.449,-102254,21.56,"Consumer,Cyclical"
Neal L Patterson ,Cerner Corp,23225648,6.766,#N/A N/A,54.89,"Consumer,Cyclical"
