Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
ELLISON LAWRENCE JOSEPH,Ellison Lawrence Joseph,Lawrence,Joseph,Ellison,,Lawrence Joseph Ellison ,ORCL UN Equity,ORACLE CORP,Oracle Corp,12/26/13,1113634580,24.762,3000000,37.82
GATES III WILLIAM HENRY,Gates Iii William Henry,William,Henry,Gates,,William Henry Gates ,MSFT UW Equity,MICROSOFT CORP,Microsoft Corp,11/18/13,358414989,4.293,1008,35.9
KINDER RICHARD D,Kinder Richard D,Richard,D,Kinder,,Richard D Kinder ,KMI UN Equity,KINDER MORGAN IN,Kinder Morgan In,9/9/13,241872511,23.35,500000,35.95
SCHWAB CHARLES R,Schwab Charles R,Charles,R,Schwab,,Charles R Schwab ,SCHW UN Equity,SCHWAB (CHARLES),Schwab (Charles),11/7/13,163410495,12.675,#N/A N/A,25.9
ARISON MICKY MEIR,Arison Micky Meir,Micky,Meir,Arison,,Micky Meir Arison ,CCL UN Equity,CARNIVAL CORP,Carnival Corp,8/7/13,110690090,18.7,4800,39.19
OMIDYAR PIERRE M,Omidyar Pierre M,Pierre,M,Omidyar,,Pierre M Omidyar ,EBAY UW Equity,EBAY INC,Ebay Inc,11/1/13,110422308,8.529,-2000000,53.35
JOHNSON JR RUPERT HARRIS,Johnson Jr Rupert Harris,Rupert,Harris,Johnson,Jr,Rupert Harris Johnson Jr,BEN UN Equity,FRANKLIN RES INC,Franklin Res Inc,5/16/13,106178151,16.831,-1000000,57.08
BEZOS JEFFREY P,Bezos Jeffrey P,Jeffrey,P,Bezos,,Jeffrey P Bezos ,AMZN UW Equity,AMAZON.COM INC,Amazon.Com Inc,11/27/13,84965269,18.562,-4751,399.95
PESSINA STEFANO,Pessina Stefano,Stefano,,Pessina,,Stefano  Pessina ,WAG UN Equity,WALGREEN CO,Walgreen Co,7/12/13,72959594,7.679,34439,59.01
FILO DAVID,Filo David,David,,Filo,,David  Filo ,YHOO UW Equity,YAHOO! INC,Yahoo! Inc,10/25/13,71061390,7.005,-300000,41.58
SCHULZE RICHARD M,Schulze Richard M,Richard,M,Schulze,,Richard M Schulze ,BBY UN Equity,BEST BUY CO INC,Best Buy Co Inc,11/5/13,61454978,17.761,-2000000,38.8
MALONE MARY ALICE DOR,Malone Mary Alice Dor,Mary,Alice Dorrance,Malone,,Mary Alice Dorrance Malone ,CPB UN Equity,CAMPBELL SOUP CO,Campbell Soup Co,11/25/13,53214687,16.994,8860,42.64
RALES MITCHELL P,Rales Mitchell P,Mitchell,P,Rales,,Mitchell P Rales ,DHR UN Equity,DANAHER CORP,Danaher Corp,3/15/13,48018746,6.887,#N/A N/A,76.59
WEXNER LESLIE HERBERT,Wexner Leslie Herbert,Leslie,Herbert,Wexner,,Leslie Herbert Wexner ,LB UN Equity,L BRANDS INC,L Brands Inc,12/2/13,45049155,15.519,#N/A N/A,60.84
BENIOFF MARC R,Benioff Marc R,Marc,R,Benioff,,Marc R Benioff ,CRM UN Equity,SALESFORCE.COM,Salesforce.Com,12/28/12,40850000,6.774,850000,56.29
KAO MIN H,Kao Min H,Min,H,Kao,,Min H Kao ,GRMN UW Equity,GARMIN LTD,Garmin Ltd,12/14/12,38942580,19.948,-45000,45.47
FISHER DORIS F,Fisher Doris F,Doris,F,Fisher,,Doris F Fisher ,GPS UN Equity,GAP INC/THE,Gap Inc/The,2/2/13,38666291,8.612,-266560,38.7
GOLISANO BLASE THOMAS,Golisano Blase Thomas,Blase,Thomas,Golisano,,Blase Thomas Golisano ,PAYX UW Equity,PAYCHEX INC,Paychex Inc,7/31/13,37935821,10.416,#N/A N/A,44.75
MARRIOTT JR JOHN WILLARD,Marriott Jr John Willard,John,Willard,Marriott,Jr,John Willard Marriott Jr,MAR UW Equity,MARRIOTT INTL-A,Marriott Intl-A,11/15/13,37289700,12.449,#N/A N/A,48.81
