ticker,company,industry,index_weight,share_price,name,title,total_amount,percent_out,start_year
AAPL,Apple,Technology,2.958673,473.27,Arthur Levinson,Chairman of Apple and Genentech,164199,0.02,2009
ABBV,AbbVie,Technology,0.472018,44.75,Laura J Schumacher,,247296,0.02,2008
ABT,Abbott,Technology,0.359172,34.97,Miles D White,,1428921,0.09,2009
ACN,Accenture,Technology,0.328132,76.61,Pierre Nanterme,,299691,0.05,2009
ADP,Automatic Data Processing Inc,Technology,0.237087,74.16,Carlos A Rodriguez,,129923,0.03,2008
AIG,American International Group,Technology,0.48485,49.31,Robert H Benmosche,president and CEO,186486,0.01,2009
AMGN,Amgen,Technology,0.566529,113.42,Gilbert S Omenn,"director, professor of internal medicine",178520,0.02,2009
AMZN,Amazon.com,Technology,0.72729,299.84,Jeff Bezos,founder and CEO,85970020,18.82,2008
APC,Anadarko,Technology,0.30949,93.67,James T Hackett,,335727,0.07,2010
AXP,American,Technology,0.480052,75.41,Kenneth I Chenault,Chairman and CEO,851667,0.08,2009
BA,Boeing,Technology,0.50065,110.09,John Finney McDonnell,corporate director at Boeing,1710334,0.23,2010
BAC,Bank of America,Technology,1.042522,14.52,Thomas Montag,Co-chief operating officer,1532849,0.01,2009
BAX,Baxter International Inc,Technology,0.255594,71.58,Robert L Parkinson Jr,,490485,0.09,2009
BIIB,Biogen,Technology,0.375435,240.05,George A Scangos,,52039,0.02,2009
BK,Bank of New York Mellon Corp,Technology,0.240502,31.45,Gerald L Hassell,,1078777,0.09,2009
BMY,Bristol-Myers,Technology,0.475985,43.51,James M Cornelius,former chairman and CEO,542383,0.03,2009
BRK/B,Berkshire,Technology,1.377795,113.4,David Gottesman  ,"investor, board of directors",2393398,0.2,2010
C,Citigroup,Technology,1.01979,50.32,Manuel Mora-Medina,Co-president,967876,0.03,2009
CAT,Caterpillar,Technology,0.377183,87.07,Peter A Magowan,,309624,0.05,2010
CELG,Celgene,Technology,0.404107,147.04,Robert J Hugin,,528508,0.13,2009
CL,Colgate-Palmolive,Technology,0.345451,59.8,Ian M Cook,,1275638,0.14,2009
CMCSA,Comcast,Technology,0.763471,43.53,Stephen B Burke,CEO of NBCUniversal,553182,0.03,2008
COF,Capital One,Technology,0.266033,69.12,Richard Dana Fairbank,,2654095,0.46,2009
